leaf_categ_id	site_id	gpc_id
41453	101	7308
47616	2	503032
179972	15	1037
134759	0	5549
83983	2	504641
29954	101	149
27255	15	1270
56185	0	3982
33056	2	6997
44868	0	1095
78068	2	479
10115	100	916
162985	0	4778
170091	101	5990
179831	0	6337
178056	0	4222
165139	0	5122
589	0	499879
118677	2	479
146435	2	7347
108331	2	7347
3749	77	8025
41008	0	4463
3934	2	5122
33846	2	5504
36469	100	916
1591	3	503747
177941	100	2641
152587	2	5182
57956	0	5598
38202	3	6424
67286	0	287
26230	2	4335
110491	2	5122
140748	100	2989
10062	100	919
112531	2	280
63901	2	114
149998	2	298
25150	0	3191
44839	0	6997
50916	2	7261
165799	2	3893
1073	2	503747
27416	101	3859
57867	0	5909
33558	101	8227
13981	2	3893
29575	101	1135
7072	100	3865
3695	0	305
164987	2	192
110409	2	6540
104195	2	7097
95150	3	216
38340	0	0
80051	15	328
15575	0	5425
984	0	8210
163588	2	215
52370	2	173
58177	0	7499
24803	0	3439
33888	2	500005
35923	2	216
158787	2	1259
3826	3	5122
123789	101	5831
372	2	216
181476	186	5863
79820	2	8156
181166	3	3502
7921	2	5831
155320	0	1051
19096	101	1246
28240	0	0
71280	3	5863
38062	0	6156
175545	71	2977
102408	2	5453
165853	2	3865
99961	2	216
83017	0	7397
79863	2	252
29404	2	2636
30120	2	0
51244	0	6932
73550	0	216
37879	2	4333
99996	2	3477
34005	0	505399
74943	3	503003
45735	0	496
51177	0	1480
6214	2	916
168175	0	6463
66532	2	216
82229	0	2784
58065	2	3982
177807	3	4576
61770	0	971
2995	15	7230
175794	101	1604
33825	2	216
84085	2	298
71234	0	2380
158941	71	3642
109514	0	135
13746	0	6030
22669	3	503032
145700	2	5
28171	15	505286
1498	71	339
30103	101	4669
12506	0	3893
46541	0	131
3508	2	5831
165708	0	218
1076	3	503747
24705	0	990
28180	2	1013
47319	0	990
177754	77	3988
146116	0	6407
29315	0	784
1190	0	4175
101942	3	479
118264	77	0
46782	71	4770
3501	3	5831
128	15	216
125473	71	5387
24087	71	1604
177932	15	8231
31388	15	152
11961	0	217
33690	71	505766
50468	2	8526
119132	100	916
164956	0	200
46314	0	5079
41567	0	245
3948	2	216
86925	2	4009
35609	186	8227
73392	2	4149
48738	0	4555
74935	2	305
83926	2	135
15747	0	207
11853	15	1901
28098	2	1084
104693	2	245
57037	2	500057
31460	2	3477
177601	3	0
60106	0	192
67650	2	3021
147263	0	5425
31550	2	328
15746	3	1772
62030	0	5302
177851	77	6103
78193	2	7262
19237	0	1259
20725	101	4564
10326	77	5122
15671	0	6103
4303	0	5863
134672	0	670
35985	0	528
86653	0	3913
102514	0	0
101247	15	300
1662	0	216
29961	0	149
15565	15	5411
175711	186	388
75579	3	5521
179522	2	2380
50257	2	3584
71205	3	6382
43702	0	503747
74926	15	143
168247	15	2778
127419	101	5831
64656	0	3214
50820	0	3376
3095	2	505373
10303	186	5122
156231	0	5
