leaf_categ_id,site_id,move_to,leaf_categ_name
10056,0,1306,Tickets & Travel:Tickets & Experiences:Event Tickets:Sporting Events:Tickets & Travel:Professional
10057,0,1306,Tickets & Travel:Tickets & Experiences:Event Tickets:Sporting Events:Hockey
10058,0,1306,Tickets & Travel:Tickets & Experiences:Event Tickets:Sporting Events:Wrestling
1005,0,1005,Pottery & Glass:Glass:Glassware:Depression:Hazel-Atlas:Other Hazel-Atlas Glassware
1006,0,1006,Pottery & Glass:Glass:Glassware:Depression:Indiana
1007,0,1007,Pottery & Glass:Glass:Glassware:Depression:Jeannette:Other Jeannette Glassware
100843,0,100843,Half Music
100844,0,100844,Half Movies
100845,0,100845,Half Video Games
100846,0,100846,Half Video Game Systems
100847,0,100847,Half Books
100848,0,100848,Half Flash Memory
100849,0,100849,Half Controllers
100850,0,100850,Half Accessories
1008,0,1008,Pottery & Glass:Glass:Glassware:Depression:Macbeth-Evans:Other Macbeth-Evans Glassware
100928,0,100928,Antiques:Periods & Styles:Aesthetic Movement
100982,0,100982,"Baby:Carriers, Slings & Backpacks"
100984,0,100982,Baby:Baby Gear:Baby Backpacks
100989,0,100989,Baby:Nursery Bedding:Sleeping Bags & Sleepsacks
1009,0,1009,Pottery & Glass:Glass:Glassware:Depression:U.S. Glass
100,0,41393,Collectibles:Decorative Collectibles:Unbranded:Other Items
1010,0,1010,"Pottery & Glass:Glass:Glassware:40s, 50s, 60s:Other 40s, 50s, 60s Glassware"
101126,0,101126,Collectibles:Animals:Dogs:Scottish Deerhound
101152,0,101152,Collectibles:Militaria:WW I (1914-18):Original Period Items:Great Britain:Posters & Prints
101179,0,101179,Collectibles:Transportation:Boats & Ships:Cruise Ships & Ocean Liners:P&O
101192,0,131486,"Computers & Networking:Computer Components:Fans, Heatsinks & Cooling:CPU Fans & Heatsinks:Fan & Heatsink"
101194,0,131486,"Computers & Networking:Computer Components:Fans, Heatsinks & Cooling:CPU Fans & Heatsinks:Heatsink Only"
101197,0,1244,Computers & Networking:PC Components:For Desktops:Motherboards:For AMD:Other
101199,0,1244,Computers & Networking:PC Components:For Desktops:Motherboards:For Intel:Dual & Quad Socket
101203,0,1244,Computers & Networking:PC Components:For Desktops:Motherboards:For Intel:Other
